Temp,Humd,Label
22.0,29.0,1
22.0,29.0,1
22.0,29.0,1
22.0,29.0,1
22.0,29.0,1
22.0,29.0,1
23.0,81.0,1
24.0,86.0,1
24.0,89.0,1
24.0,89.0,1
24.0,90.0,1
24.0,89.0,1
24.0,89.0,1
24.0,90.0,1
25.0,89.0,1
26.0,89.0,1
26.0,86.0,1
26.0,86.0,1
26.0,86.0,1
26.0,80.0,1
25.0,72.0,1
25.0,72.0,1
25.0,72.0,1
25.0,66.0,1
25.0,63.0,1
25.0,58.0,1
25.0,55.0,1
25.0,54.0,1
25.0,48.0,1
25.0,48.0,1
25.0,47.0,1
25.0,46.0,1
25.0,46.0,1
25.0,45.0,1
24.0,43.0,1
24.0,42.0,1
24.0,42.0,1
24.0,40.0,1
24.0,39.0,1
24.0,39.0,1
24.0,39.0,1
24.0,38.0,1
24.0,37.0,1
24.0,37.0,1
24.0,37.0,1
24.0,37.0,1
24.0,37.0,1
24.0,36.0,1
23.0,35.0,1
23.0,34.0,1
23.0,34.0,1
23.0,34.0,1
23.0,34.0,1
23.0,34.0,1
23.0,34.0,1
23.0,34.0,1
23.0,34.0,1
23.0,34.0,1
23.0,33.0,1
23.0,33.0,1
23.0,33.0,1
23.0,33.0,1
23.0,33.0,1
22.0,33.0,1
22.0,33.0,1
22.0,33.0,1
21.0,33.0,1
21.0,33.0,1
21.0,33.0,1
20.0,34.0,1
20.0,34.0,1
20.0,34.0,1
20.0,34.0,1
20.0,34.0,1
20.0,34.0,1
20.0,34.0,1
20.0,34.0,1
19.0,34.0,1
19.0,34.0,1
19.0,35.0,1
19.0,35.0,1
19.0,35.0,1
19.0,35.0,1
19.0,35.0,1
19.0,35.0,1
19.0,35.0,1
19.0,35.0,1
19.0,35.0,1
19.0,35.0,1
19.0,35.0,1
19.0,35.0,1
19.0,35.0,1
18.0,35.0,1
18.0,43.0,1
19.0,56.0,1
20.0,61.0,1
25.0,81.0,1
27.0,84.0,1
28.0,85.0,1
28.0,86.0,1
29.0,87.0,1
29.0,88.0,1
29.0,88.0,1
30.0,86.0,1
30.0,82.0,1
29.0,65.0,1
29.0,64.0,1
29.0,63.0,1
29.0,62.0,1
29.0,62.0,1
29.0,54.0,1
29.0,53.0,1
28.0,45.0,1
27.0,37.0,1
